STATE,year,total_damage,event_count,home_value,disaster_count,population,housing_units,exposure,damage_per_capita,risk_score,norm_damage,norm_events,norm_fema,norm_exposure,risk_score_norm,next_risk
ILLINOIS,2025,30298000.0,212,163098.4797207243,0.0,12812508.0,5426429.0,885042320212.4503,2.364720474711118,177023613084.89008,0.0016317993211492927,0.2409090909090909,0.0,0.0999333307503043,0.07881453713536919,
INDIANA,2015,2357750.0,149,112789.28531207332,0.0,6785528.0,2923175.0,329702819092.11993,0.3474674336322833,65941742723.22399,0.0001269844494501203,0.1693181818181818,0.0,0.037227938277269584,0.04508281162659729,0.03414347854702495
INDIANA,2016,10990250.0,98,117491.40411470487,0.0,6785528.0,2923175.0,343447935223.0024,1.619660253409904,68695082189.20048,0.0005919163802647374,0.11136363636363636,0.0,0.038779949073972614,0.03414347854702495,0.03833183919440463
INDIANA,2017,10838000.0,114,123099.13645358974,0.0,6785528.0,2923175.0,359840318202.7222,1.597222795337371,71973482663.34445,0.0005837164513372512,0.12954545454545455,0.0,0.04063087234926274,0.03833183919440463,0.04910390982411132
INDIANA,2018,11671750.0,136,130958.02224633581,31.0,6785528.0,2923175.0,382813216679.9327,1.7200945895441002,76568479241.28654,0.0006286208240353904,0.15454545454545454,0.04975922953451043,0.04322482543985071,0.04910390982411132,0.05343539863406398
INDIANA,2019,3151750.0,174,139588.58487781108,0.0,6785528.0,2923175.0,408041861600.19543,0.46448117228312963,81609948229.8391,0.00016974795400463014,0.19772727272727272,0.0,0.046073483023358584,0.05343539863406398,0.06556771136229642
INDIANA,2020,3108000.0,92,150440.89867009912,185.0,6785528.0,2923175.0,439765073969.967,0.4580336268599879,87954568830.8934,0.00016739165258868578,0.10454545454545454,0.2969502407704655,0.04965546571707828,0.06556771136229642,0.03647326188338913
INDIANA,2021,561000.0,85,173126.79312143355,0.0,6785528.0,2923175.0,506079913482.7465,0.0826759538830287,101216263213.54932,3.0214516442166256e-05,0.09659090909090909,0.0,0.057143314195434836,0.03647326188338913,0.03412984663472724
INDIANA,2022,990000.0,65,195271.81301139353,0.0,6785528.0,2923175.0,570813681999.5803,0.14589874214652124,114163231412.91608,5.331973489794045e-05,0.07386363636363637,0.0,0.06445263822680264,0.03412984663472724,0.04853921424359381
INDIANA,2023,41908000.0,112,202940.59827699792,13.0,6785528.0,2923175.0,593230883368.3634,6.176085339269103,118667130697.37268,0.0022570943940433217,0.12727272727272726,0.02086677367576244,0.0669838455461826,0.04853921424359381,0.05566945621341471
INDIANA,2025,18970000.0,128,223763.44165054182,25.0,6785528.0,2923175.0,654099698546.8226,2.7956556954742506,130829424737.46454,0.0010216922939534651,0.14545454545454545,0.04012841091492777,0.07385676371143819,0.05566945621341471,
IOWA,2015,24954000.0,199,112966.59631176984,19.0,3190369.0,1412789.0,159597964636.709,7.821665769696232,31932069969.041805,0.0013439804693365718,0.22613636363636364,0.030497592295345103,0.018020783665223028,0.05422085924410877,0.051357176645054285
IOWA,2016,12334200.0,181,117458.94045948212,27.0,3190369.0,1412789.0,165944699032.81128,3.866073172100155,33195106945.462257,0.0006642992668466436,0.2056818181818182,0.04333868378812199,0.018737416410465956,0.051357176645054285,0.028786323469260668
IOWA,2017,10624000.0,94,120132.8074764357,9.0,3190369.0,1412789.0,169722308941.8261,3.330022326571002,33949773808.065224,0.0005721907712684034,0.10681818181818181,0.014446227929373997,0.019163960013931818,0.028786323469260668,0.12526643029472923
IOWA,2018,348923600.0,467,125271.57849392162,35.0,3190369.0,1412789.0,176982308108.84903,109.36778786403704,35570923518.66981,0.018792438233974765,0.5306818181818181,0.056179775280898875,0.019983712788952654,0.12526643029472923,0.13867205964925403
IOWA,2019,190260000.0,507,132569.04764937068,81.0,3190369.0,1412789.0,187292092259.50674,59.63573492595997,37553548561.40135,0.010247083597658737,0.5761363636363637,0.13001605136436598,0.02114782782160398,0.13867205964925403,0.064762286372085
IOWA,2020,1331500.0,95,140127.97052803336,227.0,3190369.0,1412789.0,197971255354.3297,0.4173498426044135,39594916862.56594,7.171235052182597e-05,0.10795454545454546,0.36436597110754415,0.022353650767375895,0.064762286372085,0.04392131436429751
